Wandb initialized. Project: exploration-marl
[DEBUG] Initialized episode trackers for 1 environments
[DEBUG _on_step] timestep=151, rewards=[0.6736183], dones=[False]
[DEBUG] Env 0: reward=0.6736183166503906, accumulated=113.00477600097656, done=False
[DEBUG _on_step] timestep=152, rewards=[0.62380195], dones=[False]
[DEBUG] Env 0: reward=0.6238019466400146, accumulated=113.62857818603516, done=False
[DEBUG _on_step] timestep=153, rewards=[0.624467], dones=[False]
[DEBUG] Env 0: reward=0.6244670152664185, accumulated=114.25304412841797, done=False
[DEBUG _on_step] timestep=154, rewards=[0.62380195], dones=[False]
[DEBUG] Env 0: reward=0.6238019466400146, accumulated=114.87684631347656, done=False
[DEBUG _on_step] timestep=155, rewards=[0.6736183], dones=[False]
[DEBUG] Env 0: reward=0.6736183166503906, accumulated=115.55046081542969, done=False
[DEBUG _on_step] timestep=156, rewards=[0.62380195], dones=[False]
[DEBUG] Env 0: reward=0.6238019466400146, accumulated=116.17426300048828, done=False
[DEBUG _on_step] timestep=157, rewards=[0.6736183], dones=[False]
[DEBUG] Env 0: reward=0.6736183166503906, accumulated=116.84788513183594, done=False
[DEBUG _on_step] timestep=158, rewards=[0.66529864], dones=[False]
[DEBUG] Env 0: reward=0.6652986407279968, accumulated=117.51318359375, done=False
[DEBUG _on_step] timestep=159, rewards=[0.6736183], dones=[False]
[DEBUG] Env 0: reward=0.6736183166503906, accumulated=118.18679809570312, done=False
[DEBUG _on_step] timestep=160, rewards=[0.72336847], dones=[False]
[DEBUG] Env 0: reward=0.7233684659004211, accumulated=118.91016387939453, done=False
[DEBUG _on_step] timestep=161, rewards=[0.7242737], dones=[False]
[DEBUG] Env 0: reward=0.724273681640625, accumulated=119.63443756103516, done=False
[DEBUG _on_step] timestep=162, rewards=[0.7741128], dones=[False]
[DEBUG] Env 0: reward=0.7741128206253052, accumulated=120.40855407714844, done=False
[DEBUG _on_step] timestep=163, rewards=[0.7643626], dones=[False]
[DEBUG] Env 0: reward=0.7643625736236572, accumulated=121.17292022705078, done=False
[DEBUG _on_step] timestep=164, rewards=[0.7643626], dones=[False]
[DEBUG] Env 0: reward=0.7643625736236572, accumulated=121.93728637695312, done=False
[DEBUG _on_step] timestep=165, rewards=[0.71623075], dones=[False]
[DEBUG] Env 0: reward=0.7162307500839233, accumulated=122.65351867675781, done=False
[DEBUG _on_step] timestep=166, rewards=[0.7643626], dones=[False]
[DEBUG] Env 0: reward=0.7643625736236572, accumulated=123.41788482666016, done=False
[DEBUG _on_step] timestep=167, rewards=[0.71623075], dones=[False]
[DEBUG] Env 0: reward=0.7162307500839233, accumulated=124.13411712646484, done=False
[DEBUG _on_step] timestep=168, rewards=[0.667547], dones=[False]
[DEBUG] Env 0: reward=0.6675469875335693, accumulated=124.80166625976562, done=False
[DEBUG _on_step] timestep=169, rewards=[0.71623075], dones=[False]
[DEBUG] Env 0: reward=0.7162307500839233, accumulated=125.51789855957031, done=False
[DEBUG _on_step] timestep=170, rewards=[0.71623075], dones=[False]
[DEBUG] Env 0: reward=0.7162307500839233, accumulated=126.234130859375, done=False
[DEBUG _on_step] timestep=171, rewards=[0.667547], dones=[False]
[DEBUG] Env 0: reward=0.6675469875335693, accumulated=126.90167999267578, done=False
